Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 18:09:39 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,Total Doses Administered
California,Mar 10 2021,442,13831256
California,Mar  9 2021,50,13479230
California,Mar  8 2021,106,13160880
California,Mar  7 2021,258,12919551
California,Mar  6 2021,270,12773436
California,Mar  5 2021,371,12504116
California,Mar  4 2021,394,12129442
California,Mar  3 2021,300,11738815
California,Mar  2 2021,97,11361587
California,Mar  1 2021,238,11035670
California,Feb 28 2021,289,10759089
California,Feb 27 2021,384,10606201
California,Feb 26 2021,473,10325757
California,Feb 25 2021,1178,9935321
California,Feb 24 2021,341,9568594
California,Feb 23 2021,90,9244988
California,Feb 22 2021,232,8978512
California,Feb 21 2021,393,8785446
California,Feb 20 2021,441,8687887
California,Feb 19 2021,436,8510829
California,Feb 18 2021,451,8226862
California,Feb 17 2021,291,7922952
California,Feb 16 2021,76,7637255
California,Feb 15 2021,262,7358886
California,Feb 14 2021,471,7202218
California,Feb 13 2021,466,7095658
California,Feb 12 2021,530,6906051
California,Feb 11 2021,565,6605944
California,Feb 10 2021,520,6313745
California,Feb  9 2021,170,6039123
California,Feb  8 2021,279,5802434
California,Feb  7 2021,438,5598569
California,Feb  6 2021,605,5518781
California,Feb  5 2021,779,5343996
California,Feb  4 2021,616,5063537
California,Feb  3 2021,561,4801602
California,Feb  2 2021,194,4555762
California,Feb  1 2021,350,4341486
California,Jan 31 2021,590,4151765
California,Jan 30 2021,656,4069316
California,Jan 29 2021,597,3924678
California,Jan 28 2021,744,3714637
California,Jan 27 2021,666,3502021
California,Jan 26 2021,212,3295365
California,Jan 25 2021,240,3103458
California,Jan 24 2021,664,2943559
California,Jan 23 2021,515,2874972
California,Jan 22 2021,684,2750083
California,Jan 21 2021,655,2558626
California,Jan 20 2021,326,2368964
California,Jan 19 2021,225,2186967
California,Jan 18 2021,326,2025105
California,Jan 17 2021,563,1932371
California,Jan 16 2021,603,1879126
California,Jan 15 2021,425,1791014
California,Jan 14 2021,537,1636507
California,Jan 13 2021,580,1499361
California,Jan 12 2021,194,1367882
California,Jan 11 2021,415,1241509
California,Jan 10 2021,500,1126135
California,Jan  9 2021,630,1098641
California,Jan  8 2021,555,1049375
California,Jan  7 2021,589,927684
California,Jan  6 2021,415,823237
California,Jan  5 2021,327,740163
California,Jan  4 2021,0,676842
California,Jan  3 2021,258,625512
California,Jan  2 2021,434,618413
California,Jan  1 2021,428,598301
California,Dec 31 2020,636,591414
California,Dec 30 2020,427,555957
California,Dec 29 2020,116,485968
California,Dec 28 2020,74,425617
California,Dec 27 2020,219,372947
California,Dec 26 2020,178,362330
California,Dec 25 2020,340,345694
California,Dec 24 2020,287,343150
California,Dec 23 2020,271,315481
California,Dec 22 2020,111,256325
California,Dec 21 2020,144,198530
California,Dec 20 2020,225,144339
California,Dec 19 2020,266,123470
California,Dec 18 2020,263,95430
California,Dec 17 2020,407,44926
California,Dec 16 2020,232,14430
California,Dec 15 2020,90,4384
California,Dec 14 2020,93,3035
California,Dec 13 2020,183,2982
California,Dec 12 2020,169,N/A
California,Dec 11 2020,185,N/A
California,Dec 10 2020,203,N/A
California,Dec  9 2020,168,N/A
California,Dec  8 2020,59,N/A
California,Dec  7 2020,98,N/A
California,Dec  6 2020,122,N/A
California,Dec  5 2020,126,N/A
California,Dec  4 2020,201,N/A
California,Dec  3 2020,113,N/A
California,Dec  2 2020,119,N/A
California,Dec  1 2020,29,N/A
California,Nov 30 2020,31,N/A
California,Nov 29 2020,35,N/A
California,Nov 28 2020,45,N/A
California,Nov 27 2020,78,N/A
California,Nov 26 2020,101,N/A
California,Nov 25 2020,113,N/A
California,Nov 24 2020,21,N/A
California,Nov 23 2020,42,N/A
California,Nov 22 2020,73,N/A
California,Nov 21 2020,88,N/A
California,Nov 20 2020,91,N/A
California,Nov 19 2020,107,N/A
California,Nov 18 2020,52,N/A
California,Nov 17 2020,20,N/A
California,Nov 16 2020,21,N/A
California,Nov 15 2020,65,N/A
California,Nov 14 2020,74,N/A
California,Nov 13 2020,26,N/A
California,Nov 12 2020,43,N/A
California,Nov 11 2020,67,N/A
California,Nov 10 2020,8,N/A
California,Nov  9 2020,0,N/A
California,Nov  8 2020,78,N/A
California,Nov  7 2020,46,N/A
California,Nov  6 2020,65,N/A
California,Nov  5 2020,62,N/A
California,Nov  4 2020,79,N/A
California,Nov  3 2020,9,N/A
California,Nov  2 2020,21,N/A
California,Nov  1 2020,57,N/A
California,Oct 31 2020,58,N/A
California,Oct 30 2020,45,N/A
California,Oct 29 2020,73,N/A
California,Oct 28 2020,116,N/A
California,Oct 27 2020,15,N/A
California,Oct 26 2020,12,N/A
California,Oct 25 2020,55,N/A
California,Oct 24 2020,46,N/A
California,Oct 23 2020,62,N/A
California,Oct 22 2020,136,N/A
California,Oct 21 2020,79,N/A
California,Oct 20 2020,14,N/A
California,Oct 19 2020,11,N/A
California,Oct 18 2020,93,N/A
California,Oct 17 2020,78,N/A
California,Oct 16 2020,91,N/A
California,Oct 15 2020,99,N/A
California,Oct 14 2020,42,N/A
California,Oct 13 2020,10,N/A
California,Oct 12 2020,10,N/A
California,Oct 11 2020,80,N/A
California,Oct 10 2020,82,N/A
California,Oct  9 2020,73,N/A
California,Oct  8 2020,94,N/A
California,Oct  7 2020,85,N/A
